"filename", "language", "JavaScript", "CSS", "JavaScript React", "Markdown", "JSON", "XML", "HTML", "comment", "blank", "total"
"c:\Users\adikk\Documents\GitHub\csci3100_project\src\profile\profile.css", "CSS", 0, 87, 0, 0, 0, 0, 0, 1, 15, 103
"c:\Users\adikk\Documents\GitHub\csci3100_project\src\profile\profile.jsx", "JavaScript React", 0, 0, 129, 0, 0, 0, 0, 4, 17, 150
"c:\Users\adikk\Documents\GitHub\csci3100_project\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\adikk\Documents\GitHub\csci3100_project\src\repository\firebase_auth.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 4, 10, 45
"c:\Users\adikk\Documents\GitHub\csci3100_project\src\repository\repo.js", "JavaScript", 836, 0, 0, 0, 0, 0, 0, 214, 52, 1102
"c:\Users\adikk\Documents\GitHub\csci3100_project\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\adikk\Documents\GitHub\csci3100_project\src\varification\not_verified.jsx", "JavaScript React", 0, 0, 79, 0, 0, 0, 0, 0, 12, 91
"c:\Users\adikk\Documents\GitHub\csci3100_project\src\varification\verify.css", "CSS", 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\adikk\Documents\GitHub\csci3100_project\tailwind.config.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 2, 30
"Total", "-", 948, 575, 2185, 38, 42407, 33, 20, 289, 546, 47041
